
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"0101","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.0"
"0102","--","--","--","--","--","0.0","0.0","0.5","1.0","1.0","1.0","1.0","1.0","0.8","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","6.3"
"0103","--","--","--","--","--","0.0","0.0","0.0","0.1","0.0","0.3","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.5"
"0104","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","0.3","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.6"
"0105","--","--","--","--","--","0.0","0.0","1.0","1.0","1.0","1.0","1.0","0.8","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","5.8"
"0106","--","--","--","--","--","0.0","0.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.8","0.0","0.0","0.0","0.0","--","--","--","--","--","7.8"
"0107","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.0"
"0108","--","--","--","--","--","0.0","0.0","0.3","0.4","0.3","0.0","0.4","0.2","0.1","0.1","0.1","0.2","0.0","0.0","--","--","--","--","--","2.1"
"0109","--","--","--","--","--","0.0","0.0","0.0","0.9","1.0","1.0","0.9","0.4","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","4.2"
"0110","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.0"
"0111","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.3","0.3","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.8"
"0112","--","--","--","--","--","0.0","0.0","0.3","0.7","0.8","0.9","1.0","1.0","0.9","0.1","0.0","0.0","0.0","0.0","--","--","--","--","--","5.7"
"0113","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.0"
"0114","--","--","--","--","--","0.0","0.0","0.0","0.0","0.4","1.0","1.0","0.7","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","3.1"
"0115","--","--","--","--","--","0.0","0.1","1.0","1.0","1.0","1.0","0.9","0.4","0.4","0.3","0.0","0.0","0.0","0.0","--","--","--","--","--","6.1"
"0116","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.0"
"0117","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.2","0.5","0.0","0.0","--","--","--","--","--","1.1"
"0118","--","--","--","--","--","0.0","0.0","0.2","0.7","1.0","1.0","1.0","1.0","1.0","1.0","0.9","0.8","0.0","0.0","--","--","--","--","--","8.6"
"0119","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.1","0.3","0.6","0.1","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","1.1"
"0120","--","--","--","--","--","0.0","0.0","0.3","0.7","1.0","1.0","0.4","0.0","0.0","0.6","0.3","0.0","0.0","0.0","--","--","--","--","--","4.3"
"0121","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.0"
"0122","--","--","--","--","--","0.0","0.0","0.0","0.0","0.1","0.1","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.4"
"0123","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.0"
"0124","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.0"
"0125","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.0"
"0126","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.0"
"0127","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.0"
"0128","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","0.0"
"0129","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","0.8","0.1","0.0","0.0","0.0","0.0","--","--","--","--","--","1.4"
"0130","--","--","--","--","--","0.0","0.0","0.2","0.6","0.3","0.7","0.2","0.8","0.4","0.0","0.0","0.0","0.0","0.0","--","--","--","--","--","3.2"
"0131","--","--","--","--","--","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.7","1.0","0.3","0.0","0.0","0.0","0.0","--","--","--","--","--","2.2"
"總和","--","--","--","--","--","0.0","0.1","4.8","8.1","8.9","10.1","9.6","9.7","7.3","3.7","1.5","1.5","0.0","0.0","--","--","--","--","--","總和"
